Data	Energia Esperad kWh		Curva de carga kWh		Diferencia	%
2020-09-09 16:00:00+0200	1460,187023460		1173			0,803321753415194
2020-09-09 17:00:00+0200	1289,523815750		1041			0,807274737608893
2020-09-09 18:00:00+0200	1012,864353860		823			0,81254710649414
2020-09-09 19:00:00+0200	648,449937263		520			0,801912329878285
2020-09-09 20:00:00+0200	197,343761465		135			0,684085470945799
2020-09-09 21:00:00+0200	28,698474319		15			0,522675868868911
2020-09-09 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 09:00:00+0200	54,432224962		36			0,661372927982783
2020-09-10 10:00:00+0200	346,424285000		257			0,741864849342187
2020-09-10 11:00:00+0200	751,177562667		593			0,789427200001285
2020-09-10 12:00:00+0200	1088,158705960		877			0,805948613190839
2020-09-10 13:00:00+0200	1332,177888210		1076			0,807699939717347
2020-09-10 14:00:00+0200	1482,714235920		1190			0,802582163960694
2020-09-10 15:00:00+0200	1525,267596080		1216			0,797237155712984
2020-09-10 16:00:00+0200	1457,803593370		1165			0,79914743337055
2020-09-10 17:00:00+0200	1200,633407890		958			0,79791216345012
2020-09-10 18:00:00+0200	851,062805608		700			0,82250098980641
2020-09-10 19:00:00+0200	649,228599850		518			0,79786996463138
2020-09-10 20:00:00+0200	257,002391150		192			0,747074761214727
2020-09-10 21:00:00+0200	25,485296502		14			0,549336359451278
2020-09-10 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-10 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 08:00:00+0200	0,000000000		0			#DIV/0!
