
------------------------+----------+-----------------+------------------
          time          | plant_id |   plant_name    | export_energy_wh 
 2014-12-01 00:00:00+01 |       10 | Torregrossa     |        147000000
 2014-12-01 00:00:00+01 |       14 | Manlleu_Piscina |          5178000
 2014-12-01 00:00:00+01 |       15 | Manlleu_Pavello |          4706000
 2014-12-01 00:00:00+01 |       16 | Lleida          |          4944000
 2014-12-01 00:00:00+01 |       17 | Torrefarrera    |          6546000
 2015-01-01 00:00:00+01 |        2 | Riudarenes_SM   |          1490000
 2015-01-01 00:00:00+01 |        4 | Riudarenes_BR   |          1632000
 2015-01-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1924000
 2015-01-01 00:00:00+01 |        9 | Picanya         |         18202000
 2015-01-01 00:00:00+01 |       10 | Torregrossa     |        149830000
 2015-01-01 00:00:00+01 |       14 | Manlleu_Piscina |          6177000
 2015-01-01 00:00:00+01 |       15 | Manlleu_Pavello |          5409000
 2015-01-01 00:00:00+01 |       16 | Lleida          |          5293000
 2015-01-01 00:00:00+01 |       17 | Torrefarrera    |          6899000
 2015-02-01 00:00:00+01 |        2 | Riudarenes_SM   |          1776000
 2015-02-01 00:00:00+01 |        4 | Riudarenes_BR   |          1999000
 2015-02-01 00:00:00+01 |        5 | Riudarenes_ZE   |           989000
 2015-02-01 00:00:00+01 |        9 | Picanya         |         19958000
 2015-02-01 00:00:00+01 |       10 | Torregrossa     |        180000000
 2015-02-01 00:00:00+01 |       14 | Manlleu_Piscina |          8132000
 2015-02-01 00:00:00+01 |       15 | Manlleu_Pavello |          6579000
 2015-02-01 00:00:00+01 |       16 | Lleida          |          8879000
 2015-02-01 00:00:00+01 |       17 | Torrefarrera    |         11109000
 2015-03-01 00:00:00+01 |        2 | Riudarenes_SM   |          2326000
 2015-03-01 00:00:00+01 |        4 | Riudarenes_BR   |          2525000
 2015-03-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1575000
 2015-03-01 00:00:00+01 |        9 | Picanya         |         21788000
 2015-03-01 00:00:00+01 |       10 | Torregrossa     |        224500000
 2015-03-01 00:00:00+01 |       14 | Manlleu_Piscina |         10782000
 2015-03-01 00:00:00+01 |       15 | Manlleu_Pavello |          9937000
 2015-03-01 00:00:00+01 |       16 | Lleida          |         12558000
 2015-03-01 00:00:00+01 |       17 | Torrefarrera    |         13314000
 2015-04-01 00:00:00+02 |        2 | Riudarenes_SM   |          3263000
 2015-04-01 00:00:00+02 |        4 | Riudarenes_BR   |          3396000
 2015-04-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2887000
 2015-04-01 00:00:00+02 |        9 | Picanya         |         36271000
 2015-04-01 00:00:00+02 |       10 | Torregrossa     |        160310000
 2015-04-01 00:00:00+02 |       14 | Manlleu_Piscina |         10572000
 2015-04-01 00:00:00+02 |       15 | Manlleu_Pavello |         13176000
 2015-04-01 00:00:00+02 |       16 | Lleida          |         15449000
 2015-04-01 00:00:00+02 |       17 | Torrefarrera    |         16941000
 2015-05-01 00:00:00+02 |        2 | Riudarenes_SM   |          3549000
 2015-05-01 00:00:00+02 |        4 | Riudarenes_BR   |          3601000
 2015-05-01 00:00:00+02 |        5 | Riudarenes_ZE   |          3064000
 2015-05-01 00:00:00+02 |        9 | Picanya         |         43861000
 2015-05-01 00:00:00+02 |       10 | Torregrossa     |        260430000
 2015-05-01 00:00:00+02 |       14 | Manlleu_Piscina |         16076000
 2015-05-01 00:00:00+02 |       15 | Manlleu_Pavello |         17067000
 2015-05-01 00:00:00+02 |       16 | Lleida          |         17372000
 2015-05-01 00:00:00+02 |       17 | Torrefarrera    |         18663000
 2015-06-01 00:00:00+02 |        2 | Riudarenes_SM   |          3567000
 2015-06-01 00:00:00+02 |        4 | Riudarenes_BR   |          3549000
 2015-06-01 00:00:00+02 |        5 | Riudarenes_ZE   |          3010000
 2015-06-01 00:00:00+02 |        9 | Picanya         |         30009000
 2015-06-01 00:00:00+02 |       10 | Torregrossa     |        210270000
 2015-06-01 00:00:00+02 |       14 | Manlleu_Piscina |         14710000
 2015-06-01 00:00:00+02 |       15 | Manlleu_Pavello |         16537000
 2015-06-01 00:00:00+02 |       16 | Lleida          |         17010000
 2015-06-01 00:00:00+02 |       17 | Torrefarrera    |         17850000
 2015-07-01 00:00:00+02 |        2 | Riudarenes_SM   |          3465000
 2015-07-01 00:00:00+02 |        4 | Riudarenes_BR   |          3529000
 2015-07-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2245000
 2015-07-01 00:00:00+02 |        9 | Picanya         |         43330000
 2015-07-01 00:00:00+02 |       10 | Torregrossa     |        215970000
 2015-07-01 00:00:00+02 |       14 | Manlleu_Piscina |         14838000
 2015-07-01 00:00:00+02 |       15 | Manlleu_Pavello |         16541000
 2015-07-01 00:00:00+02 |       16 | Lleida          |         16876000
 2015-07-01 00:00:00+02 |       17 | Torrefarrera    |         17644000
 2015-08-01 00:00:00+02 |        2 | Riudarenes_SM   |          3262000
 2015-08-01 00:00:00+02 |        4 | Riudarenes_BR   |          3389000
 2015-08-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2790000
 2015-08-01 00:00:00+02 |        9 | Picanya         |         38604000
 2015-08-01 00:00:00+02 |       10 | Torregrossa     |        201350000
 2015-08-01 00:00:00+02 |       11 | Valteina        |        113550000
 2015-08-01 00:00:00+02 |       14 | Manlleu_Piscina |         14462000
 2015-08-01 00:00:00+02 |       15 | Manlleu_Pavello |         15612000
 2015-08-01 00:00:00+02 |       16 | Lleida          |         16215000
 2015-08-01 00:00:00+02 |       17 | Torrefarrera    |         17036000
 2015-09-01 00:00:00+02 |        2 | Riudarenes_SM   |          2484000
 2015-09-01 00:00:00+02 |        4 | Riudarenes_BR   |          2685000
 2015-09-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2326000
 2015-09-01 00:00:00+02 |        9 | Picanya         |         29916000
 2015-09-01 00:00:00+02 |       10 | Torregrossa     |        194930000
 2015-09-01 00:00:00+02 |       11 | Valteina        |        100510000
 2015-09-01 00:00:00+02 |       14 | Manlleu_Piscina |         10956000
 2015-09-01 00:00:00+02 |       15 | Manlleu_Pavello |         11343000
 2015-09-01 00:00:00+02 |       16 | Lleida          |         12729000
 2015-09-01 00:00:00+02 |       17 | Torrefarrera    |         13778000
 2015-10-01 00:00:00+02 |        2 | Riudarenes_SM   |          1918000
 2015-10-01 00:00:00+02 |        4 | Riudarenes_BR   |          1377000
 2015-10-01 00:00:00+02 |        5 | Riudarenes_ZE   |          1951000
 2015-10-01 00:00:00+02 |        9 | Picanya         |         17421000
 2015-10-01 00:00:00+02 |       10 | Torregrossa     |         98140000
 2015-10-01 00:00:00+02 |       11 | Valteina        |         51360000
 2015-10-01 00:00:00+02 |       14 | Manlleu_Piscina |          8617000
 2015-10-01 00:00:00+02 |       15 | Manlleu_Pavello |          8562000
 2015-10-01 00:00:00+02 |       16 | Lleida          |          9747000
 2015-10-01 00:00:00+02 |       17 | Torrefarrera    |         11382000
 2015-11-01 00:00:00+01 |        2 | Riudarenes_SM   |          1614000
 2015-11-01 00:00:00+01 |        4 | Riudarenes_BR   |          1852000
 2015-11-01 00:00:00+01 |        5 | Riudarenes_ZE   |          2037000
 2015-11-01 00:00:00+01 |        9 | Picanya         |         12723000
 2015-11-01 00:00:00+01 |       10 | Torregrossa     |        137050000
 2015-11-01 00:00:00+01 |       11 | Valteina        |        119530000
 2015-11-01 00:00:00+01 |       14 | Manlleu_Piscina |          7304000
 2015-11-01 00:00:00+01 |       15 | Manlleu_Pavello |          6504000
 2015-11-01 00:00:00+01 |       16 | Lleida          |          5242000
 2015-11-01 00:00:00+01 |       17 | Torrefarrera    |          6526000
