SETEMBRE 2020															
Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en el W/m2	Isc temperatura	Voc temp.	Imp temp	Vmp temp	P unitaria temp (W)	Potencia parque calculada con temperatura kW	Potencia parque calculada con temperatura kW con degradación placas	Potencia instantanea inversors kW	Diferencia inversors vs Pcalculada	Potencia instanea a comptador con coefciente entre inversor y contador de la planta	PR  %
1/9/2020	11:10	0	0	0	0	0	0	0	0	0	0	126,8862	0,00%	121,9503268	0,00%
1/9/2020	11:15	0	0	0	0	0	0	0	0	0	0	137,9138	0,00%	132,5489532	0,00%
1/9/2020	11:20	0	0	0	0	0	0	0	0	0	0	193,8383	0,00%	186,2979901	0,00%
1/9/2020	11:25	0	0	0	0	0	0	0	0	0	0	334,2679	0,00%	321,2648787	0,00%
1/9/2020	11:30	0	0	0	0	0	0	0	0	0	0	551,305	0,00%	529,8592355	0,00%
1/9/2020	11:35	0	0	0	0	0	0	0	0	0	0	725,7542	0,00%	697,5223616	0,00%
1/9/2020	11:40	0	0	0	0	0	0	0	0	0	0	621,7221	0,00%	597,5371103	0,00%
1/9/2020	11:45	0	0	0	0	0	0	0	0	0	0	411,9204	0,00%	395,8966964	0,00%
1/9/2020	11:50	0	0	0	0	0	0	0	0	0	0	524,1242	0,00%	503,7357686	0,00%
1/9/2020	11:55	0	0	0	0	0	0	0	0	0	0	1112,9904	0,00%	1069,695073	0,00%
1/9/2020	12:00	0	0	0	0	0	0	0	0	0	0	830,8137	0,00%	798,4950471	0,00%
1/9/2020	12:05	0	0	0	0	0	0	0	0	0	0	798,1433	0,00%	767,0955256	0,00%
1/9/2020	12:10	0	0	0	0	0	0	0	0	0	0	613,9754	0,00%	590,0917569	0,00%
1/9/2020	12:15	0	0	0	0	0	0	0	0	0	0	597,5287	0,00%	574,2848336	0,00%
1/9/2020	12:20	0	0	0	0	0	0	0	0	0	0	639,2212	0,00%	614,3554953	0,00%
1/9/2020	12:25	0	0	0	0	0	0	0	0	0	0	733,3958	0,00%	704,8667034	0,00%
1/9/2020	12:30	0	0	0	0	0	0	0	0	0	0	798,7304	0,00%	767,6597874	0,00%
1/9/2020	12:35	0	0	0	0	0	0	0	0	0	0	724,7296	0,00%	696,5376186	0,00%
1/9/2020	12:40	0	0	0	0	0	0	0	0	0	0	912,0604	0,00%	876,5812504	0,00%
1/9/2020	12:45	0	0	0	0	0	0	0	0	0	0	728,5395	0,00%	700,1993135	0,00%
1/9/2020	12:50	0	0	0	0	0	0	0	0	0	0	643,4795	0,00%	618,4481475	0,00%
1/9/2020	12:55	0	0	0	0	0	0	0	0	0	0	533,8529	0,00%	513,0860222	0,00%
1/9/2020	13:00	0	0	0	0	0	0	0	0	0	0	705,0501	0,00%	677,6236511	0,00%
1/9/2020	13:05	0	0	0	0	0	0	0	0	0	0	1103,3191	0,00%	1060,399987	0,00%
1/9/2020	13:10	0	0	0	0	0	0	0	0	0	0	1296,7545	0,00%	1246,31075	0,00%
1/9/2020	13:15	0	0	0	0	0	0	0	0	0	0	1248,0475	0,00%	1199,498452	0,00%
1/9/2020	13:20	0	0	0	0	0	0	0	0	0	0	1094,6413	0,00%	1052,059753	0,00%
1/9/2020	13:25	0	0	0	0	0	0	0	0	0	0	1321,7942	0,00%	1270,376406	0,00%
1/9/2020	13:30	0	0	0	0	0	0	0	0	0	0	1371,1625	0,00%	1317,824279	0,00%
1/9/2020	13:35	0	0	0	0	0	0	0	0	0	0	953,6229	0,00%	916,5269692	0,00%
1/9/2020	13:40	0	0	0	0	0	0	0	0	0	0	684,0971	0,00%	657,4857228	0,00%
1/9/2020	13:45	0	0	0	0	0	0	0	0	0	0	903,4892	0,00%	868,3434701	0,00%
1/9/2020	13:50	0	0	0	0	0	0	0	0	0	0	1134,1004	0,00%	1089,983894	0,00%
1/9/2020	13:55	0	0	0	0	0	0	0	0	0	0	1022,4471	0,00%	982,6739078	0,00%
1/9/2020	14:00	0	0	0	0	0	0	0	0	0	0	632,9434	0,00%	608,3219017	0,00%
1/9/2020	14:05	0	0	0	0	0	0	0	0	0	0	344,0166	0,00%	330,6343543	0,00%
1/9/2020	14:10	0	0	0	0	0	0	0	0	0	0	377,0371	0,00%	362,3703568	0,00%
1/9/2020	14:15	0	0	0	0	0	0	0	0	0	0	572,815	0,00%	550,5324965	0,00%
1/9/2020	14:20	0	0	0	0	0	0	0	0	0	0	1202,3512	0,00%	1155,579738	0,00%
1/9/2020	14:25	0	0	0	0	0	0	0	0	0	0	1259,1879	0,00%	1210,205491	0,00%
1/9/2020	14:30	0	0	0	0	0	0	0	0	0	0	1291,7612	0,00%	1241,511689	0,00%
1/9/2020	14:35	0	0	0	0	0	0	0	0	0	0	1182,3733	0,00%	1136,378979	0,00%
1/9/2020	14:40	0	0	0	0	0	0	0	0	0	0	1281,3262	0,00%	1231,482611	0,00%
1/9/2020	14:45	0	0	0	0	0	0	0	0	0	0	1313,6291	0,00%	1262,528928	0,00%
1/9/2020	14:50	0	0	0	0	0	0	0	0	0	0	1343,1162	0,00%	1290,86898	0,00%
1/9/2020	14:55	0	0	0	0	0	0	0	0	0	0	1361,7314	0,00%	1308,760049	0,00%
1/9/2020	15:00	0	0	0	0	0	0	0	0	0	0	958,125	0,00%	920,8539375	0,00%
1/9/2020	15:05	0	0	0	0	0	0	0	0	0	0	527,2095	0,00%	506,7010505	0,00%
1/9/2020	15:10	0	0	0	0	0	0	0	0	0	0	1031,823	0,00%	991,6850853	0,00%
1/9/2020	15:15	0	0	0	0	0	0	0	0	0	0	940,2654	0,00%	903,6890759	0,00%
1/9/2020	15:20	0	0	0	0	0	0	0	0	0	0	665,1967	0,00%	639,3205484	0,00%
1/9/2020	15:25	0	0	0	0	0	0	0	0	0	0	652,04	0,00%	626,675644	0,00%
1/9/2020	15:30	0	0	0	0	0	0	0	0	0	0	734,2449	0,00%	705,6827734	0,00%
1/9/2020	15:35	0	0	0	0	0	0	0	0	0	0	1194,0391	0,00%	1147,590979	0,00%
1/9/2020	15:40	0	0	0	0	0	0	0	0	0	0	1319,5104	0,00%	1268,181445	0,00%
1/9/2020	15:45	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	15:50	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	15:55	0	954,6732353	9,069395735	8,950645735	49,67275	8,545511244	40,40625	345,2920637	1684,334687	1642,22632	1228,7961	-25,17%	1180,995932	71,91%
1/9/2020	16:00	58,25	945,7058824	8,984205883	9,142143383	41,3482425	8,728341103	33,6346875	293,5750254	1432,058974	1396,2575	1222,2716	-12,46%	1174,725235	84,13%
1/9/2020	16:05	56	940,2614706	8,932483971	9,079733971	41,66979	8,668756538	33,89625	293,8383388	1433,343417	1397,509831	1224,5238	-12,38%	1176,889824	84,21%
1/9/2020	16:10	53,433	789,7058824	7,502205883	7,637264058	42,0365971	7,291577369	34,19462888	249,332782	1216,245311	1185,839178	1049,6766	-11,48%	1008,84418	85,07%
1/9/2020	16:15	52,033	960,3595098	9,123415343	9,251823518	42,2366711	8,833056769	34,35737888	303,4806781	1480,378748	1443,369279	1236,5549	-14,33%	1188,452914	82,34%
1/9/2020	16:20	55,53	921,745098	8,756578431	8,901595931	41,7369577	8,498681589	33,9508875	288,5377825	1407,487303	1372,300121	1202,92	-12,34%	1156,126412	84,25%
1/9/2020	16:25	55,8	987,5816667	9,382025834	9,528325834	41,698372	9,097043717	33,9195	308,5671744	1505,190677	1467,56091	1267,9421	-13,60%	1218,619152	83,04%
1/9/2020	16:30	55,067	860,9967647	8,179469265	8,32228609	41,8031679	7,94559314	34,00474613	270,1878775	1317,976467	1285,027055	1127,7546	-12,24%	1083,884946	84,35%
1/9/2020	16:35	52,73	1001,509804	9,514343138	9,646060638	42,1371057	9,209449472	34,2763875	315,6666588	1539,821961	1501,326412	1321,3642	-11,99%	1269,963133	84,59%
1/9/2020	16:40	52,15	761,6830392	7,235988872	7,364951372	42,2199935	7,031590416	34,3438125	241,4916228	1177,996136	1148,546233	891,8329	-22,35%	857,1406002	74,63%
1/9/2020	16:45	49,233	654,3463726	6,21629054	6,331398715	42,6368191	6,044819615	34,68287888	209,6517465	1022,68122	997,1141891	914,3796	-8,30%	878,8102336	88,14%
1/9/2020	16:50	46,77	651,6078431	6,190274509	6,293682009	42,9888493	6,008810087	34,9692375	210,123507	1024,982467	999,3579056	747,6709	-25,18%	718,586502	71,90%
1/9/2020	16:55	43,983	434,085	4,1238075	4,213978175	43,3870966	4,023240216	35,29319138	141,9929869	692,64179	675,3257452	567,3325	-15,99%	545,2632658	80,74%
1/9/2020	17:00	42,383	712,0098039	6,764093137	6,846663812	43,6157526	6,536762187	35,47919138	231,9190366	1131,301061	1103,018534	1062,6571	-3,66%	1021,319739	92,59%
1/9/2020	17:05	48,47	712,1568628	6,765490197	6,876972697	42,7459023	6,565699196	34,7716125	228,2999482	1113,647147	1085,805969	914,4175	-15,78%	878,8466593	80,94%
1/9/2020	17:10	46,767	784,1176471	7,449117647	7,552509472	42,9893209	7,210659044	34,96962113	252,1540148	1230,007284	1199,257102	1048,1196	-12,60%	1007,347748	84,00%
1/9/2020	17:15	45,6	773,7254902	7,350392157	7,448242157	43,156054	7,111111196	35,10525	249,6373363	1217,730927	1187,287653	1033,5975	-12,94%	993,3905573	83,67%
1/9/2020	17:20	47,69	740,0784314	7,030745098	7,138522598	42,8573721	6,815410523	34,8622875	237,6008011	1159,016708	1130,04129	995,8896	-11,87%	957,1494946	84,70%
1/9/2020	17:25	49,783	717,5816667	6,817025834	6,934746509	42,5582186	6,620857982	34,61894138	229,2070943	1118,072206	1090,120401	968,93	-11,12%	931,238623	85,43%
1/9/2020	17:30	47,3	688,7581373	6,543202304	6,649127304	42,913107	6,348166805	34,907625	221,5994263	1080,962001	1053,937951	933,025	-11,47%	896,7303275	85,08%
1/9/2020	17:35	47,69	664,0980392	6,308931372	6,416708872	42,8573721	6,126268366	34,8622875	213,5757291	1041,822406	1015,776846	903,7921	-11,02%	868,6345873	85,51%
1/9/2020	17:40	45,7	643,9215686	6,117254902	6,215579902	43,141763	5,934243127	35,093625	208,254103	1015,863514	990,4669264	882,5162	-10,90%	848,1863198	85,63%
1/9/2020	17:45	43,65	623,9051961	5,927099363	6,015686863	43,4347285	5,743397879	35,3319375	202,9253749	989,8699787	965,1232292	855,22	-11,39%	821,951942	85,17%
1/9/2020	17:50	44,97	603,5686275	5,733901961	5,828759461	43,2460873	5,564931401	35,1784875	195,7658697	954,9459126	931,0722648	830,7425	-10,78%	798,4266168	85,75%
1/9/2020	17:55	43,35	582,2712745	5,531577108	5,618739608	43,4776015	5,36441771	35,3668125	189,7223553	925,4656492	902,329008	803,9958	-10,90%	772,7203634	85,64%
1/9/2020	18:00	42,183	561,4542157	5,333815049	5,415435724	43,6443346	5,170316002	35,50244138	183,5588407	895,4000252	873,0150245	778,5912	-10,82%	748,3040023	85,71%
1/9/2020	18:05	42,39	542,0784314	5,149745098	5,232347598	43,6147951	4,995515023	35,4784125	177,2329426	864,5422941	842,9287368	752,0433	-10,78%	722,7888156	85,75%
1/9/2020	18:10	43,867	520,6208824	4,945898383	5,035515208	43,4037599	4,807591888	35,30674613	169,7404263	827,9937993	807,2939543	720,835	-10,71%	692,7945185	85,82%
1/9/2020	18:15	43,983	498,2026471	4,732925147	4,823095822	43,3870966	4,604787275	35,29319138	162,5176385	792,7610407	772,9420147	693,3012	-10,30%	666,3317833	86,21%
1/9/2020	18:20	41,63	476,6666667	4,528333334	4,607325834	43,7234067	4,398783717	35,5667625	156,4504958	763,1655183	744,0863803	665,6692	-10,54%	639,7746681	85,98%
1/9/2020	18:25	38,833	459,6732353	4,366895735	4,43260391	44,1230831	4,23197026	35,89187888	151,893364	740,9358294	722,4124337	642,26	-11,10%	617,276086	85,45%
1/9/2020	18:30	39,167	438,8561765	4,169133677	4,236425502	44,0754369	4,044671505	35,85312113	145,0140974	707,3787671	689,6942979	615,9762	-10,69%	592,0147258	85,84%
1/9/2020	18:35	37,63	421,8823529	4,007882353	4,067874853	44,2950467	3,883749991	36,0317625	139,9383573	682,6193068	665,5538241	592,4466	-10,98%	569,4004273	85,55%
1/9/2020	18:40	38,617	404,4281373	3,842067304	3,906746629	44,1540374	3,72991494	35,91705863	133,9675736	653,4938238	637,1564782	565,8158	-11,20%	543,8055654	85,35%
1/9/2020	18:45	37	382,0098039	3,629093137	3,686093137	44,38508	3,519248921	36,105	127,0624823	619,8107887	604,315519	536,5471	-11,21%	515,6754178	85,33%
