plant,signal_description,device_description,device_uuid,signal_uuid
Tahal,Vr_BT,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,ebf75543-afaf-4ae4-9282-6a5aedd89632
Tahal,Vs_BT,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,32c88915-9b49-432e-bcff-6f06a5b8c276
Tahal,Vt_BT,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,75ed74c9-b95e-42a9-bd96-a0537f5732ca
Tahal,Ir_BT,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,94834ea1-7dfb-4a7e-94d1-807b56970de6
Tahal,Is_BT,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,194d2978-b78f-4eda-98db-866e57f3c4fc
Tahal,It_BT,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,82c17532-1677-4aa1-bee3-040687b40de4
Tahal,intensitat,string1_inverter133,a827c447-59e2-4fcf-8cf8-1ffbb38ac4c8,ae55cc07-5c9b-45b5-911c-9b2d327d2006
Tahal,intensitat,string2_inverter133,bec029e2-ad2c-4094-9b5b-ebbfbd499bdd,58633e49-a9ae-4269-9fa4-4d30b99eb9ff
Tahal,intensitat,string3_inverter133,3a0cda11-9a87-43e6-884f-8ae224326998,5ec17e9b-fbb3-47b0-a205-007311941256
Tahal,intensitat,string4_inverter133,80da9d7a-2d0e-4db9-9f14-71bb64fb4809,4fc4260f-df61-4468-8380-1a0a870195f1
Tahal,intensitat,string5_inverter133,a615a9d5-5b33-4abe-b528-7b1de485ffcc,1ceb241b-538b-491b-8dff-79307690c3f3
Tahal,intensitat,string6_inverter133,15c7eb4d-939a-46fe-be74-8ad91524f026,4e0d8344-29aa-4e39-bec8-09c2de029e69
Tahal,intensitat,string7_inverter133,bea2c3a3-6d6d-4c06-81fc-d2a3d2ff018d,ff9a85d5-88dd-4cfc-9138-ab037197cbc8
Tahal,intensitat,string8_inverter133,c2f9bf32-f6b4-44d0-a14e-df0c926d610a,10b34b1a-c662-4633-99ef-bfff4d34ca11
Tahal,voltatge,string1_inverter133,a827c447-59e2-4fcf-8cf8-1ffbb38ac4c8,2d64f685-e687-44d8-99fa-b2a56872f516
Tahal,voltatge,string2_inverter133,bec029e2-ad2c-4094-9b5b-ebbfbd499bdd,fb1c6317-e179-4241-a341-6a5420994129
Tahal,voltatge,string3_inverter133,3a0cda11-9a87-43e6-884f-8ae224326998,4d62a38f-f9c8-49b0-bb86-202d0923503e
Tahal,voltatge,string4_inverter133,80da9d7a-2d0e-4db9-9f14-71bb64fb4809,79bebec0-52cc-4854-ab85-867a4b8065ce
Tahal,voltatge,string5_inverter133,a615a9d5-5b33-4abe-b528-7b1de485ffcc,fa124f0d-20d5-49ec-bada-ae6f83fd238b
Tahal,voltatge,string6_inverter133,15c7eb4d-939a-46fe-be74-8ad91524f026,d9e87011-39a3-48b2-bce9-ae85eb2f9727
Tahal,voltatge,string7_inverter133,bea2c3a3-6d6d-4c06-81fc-d2a3d2ff018d,9569b667-26ec-410e-ae23-efc8495ee855
Tahal,voltatge,string8_inverter133,c2f9bf32-f6b4-44d0-a14e-df0c926d610a,49b6b59e-5d23-476b-a2e0-a1f40208c148
Tahal,potencia_activa,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,d3d3e53d-fdda-4ca2-8f0e-65d4be5f8e77
Tahal,frecuencia,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,9b6fe5b3-1496-414f-a95a-f645cbe3da5f
Tahal,energia,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,cc481d68-9e7b-4ed6-b8c4-0505d1c9ca91
Tahal,energia_total,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,c5f07342-ba10-4a3c-9b4f-83de6fcbe3ce
Tahal,temperatura_mitjana,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,05e4ed5e-e495-4922-9222-dcae0924e422
Tahal,Vr_BT,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,6026c037-7de5-4f75-af88-90a6dc5f8271
Tahal,Vs_BT,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,c16918ac-afe3-415e-a3b8-73bb8bdf51db
Tahal,Vt_BT,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,5a9eaf78-3dcf-4c2f-8463-e19b2755e383
Tahal,Ir_BT,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,625aed7c-b74b-412b-bb77-ea753d33e389
Tahal,Is_BT,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,76adffbf-c6e5-4d4d-8004-e453256fae43
Tahal,It_BT,inverter134,4eaabc3c-d8b1-4cb9-85b6-b9225cc43500,33ea7bd3-b9c9-4c3e-84cb-6cc2b57091b8
Tahal,intensitat,string1_inverter134,7e336fe1-8226-448d-80df-d0632fa447fd,2281aa25-814d-4c2e-a22d-b758d0ed1ff5
Tahal,intensitat,string2_inverter134,c0b76c06-8548-4c43-8acc-b026882dd354,5bb9549a-77e8-4fbf-b087-f8d72d8f7666
Tahal,intensitat,string3_inverter134,5a8b0ed3-104d-4258-95cb-441530c3f92b,ae1f99d6-e13a-45c1-a3ce-8a22b83fc34a
Tahal,intensitat,string4_inverter134,ddb30d98-86d0-4a12-92b8-ff556b967105,724621f1-a909-4e59-b462-0ca4888c40b0
Tahal,intensitat,string5_inverter134,f73f991a-2894-47e0-a377-5e9ddfb291a9,01465419-1bc4-4eab-8442-f636667d25a7
Tahal,intensitat,string6_inverter134,7e06a435-57fe-45c2-b214-de802436f2fd,2e57a49b-f28a-45f4-8ea5-7a17800f44e5
Tahal,intensitat,string7_inverter134,b42f0bbf-b7b2-4e16-ad6c-7ce9ce1e93ff,2d338c3e-2e2e-4079-8828-94efb8dbe06f
Tahal,intensitat,string8_inverter134,647509d0-6769-41ad-aa2d-97ac8d49b9ae,0a9dd441-5cd4-402f-bb3c-bd47c308726f
Tahal,voltatge,string1_inverter134,7e336fe1-8226-448d-80df-d0632fa447fd,b4bfe977-fec5-48b3-ab66-1e9b9f53bbd4
Tahal,voltatge,string2_inverter134,c0b76c06-8548-4c43-8acc-b026882dd354,4593b925-7665-4b12-bb76-d9312a6098c2
Tahal,voltatge,string3_inverter134,5a8b0ed3-104d-4258-95cb-441530c3f92b,a331590a-abc0-4668-9d05-6f3d40ef1c48
Tahal,voltatge,string4_inverter134,ddb30d98-86d0-4a12-92b8-ff556b967105,0dc00424-c7a3-45af-8de8-f8421d9b76c5
Tahal,voltatge,string5_inverter134,f73f991a-2894-47e0-a377-5e9ddfb291a9,81066da9-1256-4608-b221-b40ebd5a1ad9
Tahal,voltatge,string6_inverter134,7e06a435-57fe-45c2-b214-de802436f2fd,4608be73-a5a0-45dc-a6df-b4e78a17ce05
Tahal,voltatge,string7_inverter134,b42f0bbf-b7b2-4e16-ad6c-7ce9ce1e93ff,e0768906-8272-4518-8ca6-64ca2475ed9a
Tahal,voltatge,string8_inverter134,647509d0-6769-41ad-aa2d-97ac8d49b9ae,6f673b61-3a5f-48d7-84d0-1b1429e1c04e
Tahal,comunicacio_ok,plant,d2ae8e7c-f5f4-4516-8df0-31f880fd12fb,d68ddf22-fd34-47d1-996c-4d564c84fc26
Tahal,irradiacio,sensor1,3313d282-dca0-4a38-845b-19b1e18f16ee,c4b67f10-615c-4822-bbb2-7486e1c3a76a
Tahal,temperatura_panell,sensor1,3313d282-dca0-4a38-845b-19b1e18f16ee,06ca1c25-8f2b-47e2-87f6-4d2d8f5af333
Tahal,temperatura_ambient,sensor1,3313d282-dca0-4a38-845b-19b1e18f16ee,a8c35b59-b23c-4b91-abff-2256db052c6d
Tahal,comunicacio_ok,sensor1,3313d282-dca0-4a38-845b-19b1e18f16ee,e82508d8-d9ae-4f5d-8428-7e5d09e1a556
Vallhermoso,energia_exportada,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,646d1ec2-0ca2-4c22-9739-8161aafb224e
Vallhermoso,energia_importada,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,09b3e029-6388-4a59-9e35-29050847c379
Vallhermoso,energia_reactiva_Q1,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,19cecc03-5348-4230-99e0-044f2d4d3855
Vallhermoso,energia_reactiva_Q2,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,0a026cc9-ce0d-4b95-aafc-38e16add0b92
Vallhermoso,energia_reactiva_Q3,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,58b50563-59de-4a64-b4e1-5b080a32e26f
Vallhermoso,energia_reactiva_Q4,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,66dac99d-e020-41e3-89aa-5b15a561db56
Vallhermoso,Vr_MT,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,e962eb00-bf0e-4543-a7cc-f86d239fa3d3
Vallhermoso,Vs_MT,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,26957d5e-4a80-48ae-aeeb-12b1de290641
Vallhermoso,Vt_MT,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,7458943e-40b9-4e61-8a76-440a26b9ce3a
Vallhermoso,comunicacio_ok,meter,08bc8d88-4ea2-4ee9-b817-00e1f07debba,7bd64168-44bf-4c0c-ad7a-99cad41ff9c4
Vallhermoso,potencia_alterna_R,inverter1,f330dd4b-f5c0-423d-bcb7-8dc0eed04edf,a65712c0-af4f-40b8-971a-bbc468883871
Vallhermoso,potencia_alterna_S,inverter1,f330dd4b-f5c0-423d-bcb7-8dc0eed04edf,c1031347-a690-4dd7-b5de-fd3c4432fd73
Vallhermoso,potencia_alterna_T,inverter1,f330dd4b-f5c0-423d-bcb7-8dc0eed04edf,09f9783f-7e75-44b8-9d47-eccf254a9b64
Vallhermoso,energia,inverter1,f330dd4b-f5c0-423d-bcb7-8dc0eed04edf,620e7bf0-3ac1-4f92-8e25-ec60738e7e3b
Vallhermoso,temperatura_mitjana,inverter1,f330dd4b-f5c0-423d-bcb7-8dc0eed04edf,3287fb7e-7a2c-4387-9a0f-13c5186bb32b
Vallhermoso,intensitat,stringbox_SCB11,40dd846f-ca3d-463b-8dc5-d0ad00721eba,11603a1b-352e-46f6-8634-c4433e72c8c3
Vallhermoso,intensitat,stringbox_SCB12,8ed8f762-9a63-4e5f-a971-8884ced4a1cd,9fbd7792-180a-4422-8f1f-5026a6e4bdfb
Vallhermoso,intensitat,stringbox_SCB13,b5794358-b72e-407e-a16c-b6a42c5ae579,442a912e-da09-41de-923c-6788b73bc84b
Vallhermoso,intensitat,stringbox_SCB14,7b0a1522-bc3f-4732-829a-0a6a3f0d3d0e,80b93369-d6d4-49b4-860f-dc44fb1c84bc
Vallhermoso,intensitat,stringbox_SCB15,723b52c8-58a1-4533-a5ca-6828794b1d7c,8fb541e6-a867-46e2-a714-a04ba11a102a
